a	b	eval0	eval1	eval2
1	1	8.10322	4.46649	0.335956
2	1	23.3708	11.8295	0.0914707
3	1	54.6343	28.4315	-0.0508213
4	1	113.907	62.3294	-0.134718
5	1	222.66	127.894	-0.179969
6	1	419.953	251.267	-0.19894
7	1	777.68	480.625	-0.200269
8	1	1429.63	905.753	-0.190259
9	1	2627.48	1695.72	-0.173552
2	2	121.967	56.9399	-0.291057
3	2	435.2	209.448	-0.531136
4	2	1258.59	636.372	-0.69016
5	2	3225.03	1715.28	-0.794419
6	2	7678.03	4285.02	-0.859709
7	2	17458.4	10192	-0.896625
8	2	38576.6	23486.9	-0.912698
9	2	83798.1	53063	-0.91349
3	3	2102.03	1014.47	-0.851986
4	3	7748.77	3824.77	-1.08163
5	3	24424.1	12404	-1.24783
6	3	69748.3	36521	-1.36745
7	3	186508	100745	-1.45186
8	3	476688	265603	-1.50916
9	3	1.18063e+06	678248	-1.54531
4	4	34821.6	17193	-1.37719
5	4	130154	64978.3	-1.60373
6	4	431967	219298	-1.77819
7	4	1.32107e+06	684207	-1.91224
8	4	3.80999e+06	2.01686e+06	-2.01429
9	4	1.05237e+07	5.6999e+06	-2.09062
5	5	563723	280723	-1.88696
6	5	2.13169e+06	1.06776e+06	-2.114
7	5	7.32879e+06	3.71158e+06	-2.29652
8	5	2.34959e+07	1.20706e+07	-2.44313
9	5	7.14486e+07	3.7313e+07	-2.56029
6	6	9.05237e+06	4.52059e+06	-2.39053
7	6	3.45529e+07	1.7317e+07	-2.6193
8	6	1.21824e+08	6.15419e+07	-2.80896
9	6	4.04084e+08	2.06369e+08	-2.96611
7	7	1.44994e+08	7.24705e+07	-2.89176
8	7	5.57445e+08	2.79319e+08	-3.12249
9	7	2.00223e+09	1.00941e+09	-3.31817
8	8	2.32063e+09	1.16019e+09	-3.39217
9	8	8.97122e+09	4.49371e+09	-3.62469
9	9	3.71333e+10	1.85661e+10	-3.8923
