a	b	eval0	eval1	eval2
2	2	121.967	56.9399	-0.291057
3	2	435.2	209.448	-0.531136
4	2	1258.59	636.372	-0.69016
5	2	3225.03	1715.28	-0.794419
6	2	7678.03	4285.02	-0.859709
7	2	17458.4	10192	-0.896625
8	2	38576.6	23486.9	-0.912698
9	2	83798.1	53063	-0.91349
10	2	180407	118516	-0.903226
11	2	387193	263277	-0.885168
12	2	831998	584288	-0.861863
13	2	1.79565e+06	1.29973e+06	-0.835307
14	2	3.90156e+06	2.90492e+06	-0.807057
15	2	8.5484e+06	6.53458e+06	-0.778316
16	2	1.89076e+07	1.48117e+07	-0.749992
17	2	4.2245e+07	3.38533e+07	-0.722754
18	2	9.53706e+07	7.80456e+07	-0.697067
19	2	2.17541e+08	1.81494e+08	-0.673233
20	2	5.01228e+08	4.25653e+08	-0.65142
