x0	y0	x1	y1
0	0.237333	0	0.237333
0.0107705	0.281864	0.0107705	0.281864
0.0215411	0.325714	0.0215411	0.325714
0.0323116	0.368854	0.0323116	0.368854
0.0430821	0.411199	0.0430821	0.411199
0.0538527	0.452808	0.0538527	0.452808
0.0646232	0.493391	0.0646232	0.493391
0.0753937	0.532871	0.0753937	0.532871
0.0861642	0.571232	0.0861642	0.571232
0.0969348	0.608454	0.0969348	0.608454
0.107705	0.644361	0.107705	0.644361
0.118476	0.678825	0.118476	0.678825
0.129246	0.711813	0.129246	0.711813
0.140017	0.743294	0.140017	0.743294
0.150787	0.773194	0.150787	0.773194
0.161558	0.80145	0.161558	0.80145
0.172328	0.827999	0.172328	0.827999
0.183099	0.852777	0.183099	0.852777
0.19387	0.875853	0.19387	0.875853
0.20464	0.897069	0.20464	0.897069
0.215411	0.916398	0.215411	0.916398
0.226181	0.933799	0.226181	0.933799
0.236952	0.949203	0.236952	0.949203
0.247722	0.962609	0.247722	0.962609
0.258493	0.973986	0.258493	0.973986
0.269263	0.983325	0.269263	0.983325
0.280034	0.990609	0.280034	0.990609
0.290804	0.995825	0.290804	0.995825
0.301575	0.998956	0.301575	0.998956
0.312345	1	0.312345	1
0.312345	0	0.312345	0
0.336058	0.00102513	0.336058	0.00102513
0.35977	0.00410051	0.35977	0.00410051
0.383482	0.0092253	0.383482	0.0092253
0.407194	0.0163896	0.407194	0.0163896
0.430907	0.0255877	0.430907	0.0255877
0.454619	0.0368402	0.454619	0.0368402
0.478331	0.0501167	0.478331	0.0501167
0.502043	0.0654313	0.502043	0.0654313
0.525755	0.082762	0.525755	0.082762
0.549468	0.102117	0.549468	0.102117
0.57318	0.123463	0.57318	0.123463
0.596892	0.146794	0.596892	0.146794
0.620604	0.172072	0.620604	0.172072
0.644317	0.199306	0.644317	0.199306
0.668029	0.228447	0.668029	0.228447
0.691741	0.259532	0.691741	0.259532
0.715453	0.292548	0.715453	0.292548
0.739165	0.327421	0.739165	0.327421
0.762878	0.364237	0.762878	0.364237
0.78659	0.402948	0.78659	0.402948
0.810302	0.443373	0.810302	0.443373
0.834014	0.485638	0.834014	0.485638
0.857727	0.529685	0.857727	0.529685
0.881439	0.575463	0.881439	0.575463
0.905151	0.622895	0.905151	0.622895
0.928863	0.672056	0.928863	0.672056
0.952576	0.722945	0.952576	0.722945
0.976288	0.77546	0.976288	0.77546
1	0.829526	1	0.829526
