x0	y0	x1	y1	x2	y2
0	0.304417	0	8.46142e-07	0	0.303168
0.025963	0.351482	4.47044e-05	0.067071	0.0260045	0.350317
0.0519261	0.396907	8.94089e-05	0.131885	0.052009	0.395823
0.0778891	0.440689	0.000134113	0.194432	0.0780135	0.439684
0.103852	0.482829	0.000178818	0.254703	0.104018	0.4819
0.129815	0.523326	0.000223522	0.312688	0.130023	0.52247
0.155778	0.562177	0.000268227	0.368377	0.156027	0.561391
0.181741	0.599382	0.000312931	0.421762	0.182032	0.598664
0.207704	0.634941	0.000357636	0.472834	0.208036	0.634287
0.233667	0.668851	0.00040234	0.521586	0.234041	0.668259
0.25963	0.701113	0.000447044	0.568008	0.260045	0.70058
0.285593	0.731726	0.000491749	0.612094	0.28605	0.731249
0.311556	0.760688	0.000536453	0.653837	0.312054	0.760264
0.337519	0.787999	0.000581158	0.693231	0.338059	0.787625
0.363483	0.813659	0.000625862	0.730268	0.364063	0.813331
0.389446	0.837666	0.000670567	0.764943	0.390068	0.83738
0.415409	0.86002	0.000715271	0.797251	0.416072	0.859774
0.441372	0.880721	0.000759975	0.827187	0.442077	0.880511
0.467335	0.899768	0.00080468	0.854745	0.468081	0.899591
0.493298	0.91716	0.000849384	0.879921	0.494086	0.917013
0.519261	0.932897	0.000894089	0.902711	0.52009	0.932778
0.545224	0.946978	0.000938793	0.923113	0.546095	0.946884
0.571187	0.959404	0.000983498	0.941122	0.572099	0.959332
0.59715	0.970173	0.0010282	0.956735	0.598104	0.970121
0.623113	0.979287	0.00107291	0.96995	0.624108	0.97925
0.649076	0.986743	0.00111761	0.980766	0.650113	0.98672
0.675039	0.992543	0.00116232	0.98918	0.676117	0.99253
0.701002	0.996686	0.00120702	0.995191	0.702122	0.99668
0.726965	0.999171	0.00125172	0.998798	0.728126	0.99917
0.752928	1	0.00129643	1	0.754131	1
0.752928	0	0.00129643	0	0.754131	0
0.761448	0.00118906	0.0357345	0.0012032	0.762609	0.00117576
0.769968	0.00475625	0.0701725	0.00481209	0.771087	0.00470306
0.778487	0.0107016	0.104611	0.0108246	0.779565	0.0105819
0.787007	0.019025	0.139049	0.0192371	0.788044	0.0188122
0.795527	0.0297266	0.173487	0.0300447	0.796522	0.0293941
0.804046	0.0428062	0.207925	0.043241	0.805	0.0423275
0.812566	0.0582641	0.242363	0.0588184	0.813478	0.0576124
0.821086	0.0761	0.276801	0.0767675	0.821957	0.0752489
0.829606	0.096314	0.311239	0.097078	0.830435	0.0952369
0.838125	0.118906	0.345677	0.119738	0.838913	0.117576
0.846645	0.143877	0.380115	0.144734	0.847391	0.142267
0.855165	0.171225	0.414553	0.172051	0.85587	0.16931
0.863684	0.200952	0.448991	0.201673	0.864348	0.198704
0.872204	0.233056	0.483429	0.233583	0.872826	0.23045
0.880724	0.267539	0.517867	0.267763	0.881304	0.264547
0.889244	0.3044	0.552305	0.304191	0.889783	0.300995
0.897763	0.343639	0.586743	0.342847	0.898261	0.339796
0.906283	0.385256	0.621181	0.383707	0.906739	0.380947
0.914803	0.429251	0.655619	0.426748	0.915217	0.42445
0.923323	0.475625	0.690058	0.471945	0.923696	0.470305
0.931842	0.524376	0.724496	0.51927	0.932174	0.518511
0.940362	0.575506	0.758934	0.568696	0.940652	0.569069
0.948882	0.629013	0.793372	0.620193	0.94913	0.621978
0.957401	0.684899	0.82781	0.673732	0.957609	0.677239
0.965921	0.743163	0.862248	0.72928	0.966087	0.734852
0.974441	0.803805	0.896686	0.786805	0.974565	0.794815
0.982961	0.866825	0.931124	0.846273	0.983043	0.857131
0.99148	0.932224	0.965562	0.907649	0.991522	0.921797
1	1	1	0.970896	1	0.988816
